product_id,product_name,category,sub_category,brand,price,cost,stock_quantity,reorder_level,supplier_id
5f91d0ec-47ab-4ddf-984d-a25cf2d1bf20,today,Clothing,be,Singleton Ltd,70.15,34.22,137,73,9262c1e6-3e39-48ac-9f2d-65fea5748ca6
b6359e55-86d6-4f77-971f-fb2655f1e006,meeting,Books,several,"Hood, Walters and Chapman",58.08,82.64,417,60,06c549e2-4241-47db-a014-3b66c71073fb
b4f1771d-b2d4-4380-b3a6-d903863f274d,better,Electronics,how,Foster-Garcia,22.67,131.66,981,70,2a4b8247-d935-4182-9466-bcada80e61cf
e13c8c4a-4d0c-459a-9fcf-d12dc3247320,receive,Home,bank,"Roberts, Glass and Williamson",353.87,20.0,625,42,d1870dd2-87f0-4732-860f-9af70bc99620
04273cae-12d1-4a64-8afe-45e35eecc0ee,identify,Toys,mind,"Anderson, Williams and Jones",173.84,284.85,159,68,ccfb25aa-9844-4aa5-b2fc-7a7421c9d8f1
e0a9003e-c019-4b08-8c55-82dfb72a3930,apply,Clothing,message,Garza-Taylor,269.4,154.87,924,41,f44ec2fb-fd37-42fa-96b3-a901270fed11
df5f73ef-f293-4c62-bec5-070f425d2fc4,threat,Electronics,security,"Tapia, Davenport and Kelly",496.73,166.93,534,45,58621828-a6e2-4db3-a0d7-168239744c3a
71708c17-4021-4dc2-9474-5a3c2ed9b979,read,Toys,already,"Moreno, Lee and Mccoy",260.27,280.42,101,54,c7cbd684-67ed-4048-b637-7c091c12731c
adf58d20-9165-4684-b4f0-d2c5c1f2275b,heavy,Home,together,Rogers LLC,242.61,161.53,761,12,dcdef501-04b8-456e-9d62-717362b60c21
6323a9b1-011d-4bf4-954b-b1223f5cea69,employee,Electronics,attention,"Mcguire, Holmes and Jones",157.62,116.62,544,0,b3019699-6980-43ea-a90a-bc7c75e0a562
d1ceaecb-422d-42df-8a49-6df6a47f3445,subject,Books,class,Bates LLC,186.51,19.35,417,70,dd45519e-8548-4990-9c8d-8cb625e29bca
b1a97535-5b72-45fa-a8b2-6f38c013bad8,collection,Toys,sound,Garcia-Sanders,199.31,175.98,658,58,c0b84ffa-0e55-468e-8ba0-aedee4b0c1a4
367a0916-a566-40d9-adc8-2a864e3fc959,later,Electronics,across,"Lee, Vasquez and Morales",494.28,240.71,445,16,f1443752-d003-4ad1-8820-932723f6a02f
306b37fb-28e8-40e3-bdea-ef25ff5bd592,better,Electronics,eat,"Anderson, Harrell and Lin",327.48,110.74,558,43,d29162ae-1dc5-4259-a8cf-636997f3d791
0b12fdaa-5d35-4dc6-8ab0-b1d5bd279bff,require,Books,already,"Taylor, Moore and Wallace",88.84,22.82,561,74,e17990d9-1b5d-4547-896b-7d2532be7b1a
acd72e71-9dd0-436e-b824-0b93ad11b9c6,provide,Books,reason,Walker-Jenkins,374.52,53.82,180,43,54bd8f76-2f7f-4813-a54d-2e584945f83f
6ca1226f-7116-4dc3-881b-325ea6a64256,ago,Clothing,direction,"Morris, Ruiz and Jones",407.09,244.38,514,33,994222e9-2882-4a7e-a6dd-f2ef0d8a8594
f0c566ac-278a-4f40-b836-fcd514fdb182,unit,Home,realize,Simon Ltd,366.77,29.31,560,65,4ac2d3ce-95d5-4100-9e97-83273bd162d0
3156e1e2-ba37-4d70-9856-b52591e97e17,whatever,Home,administration,Sanders-Herman,191.92,23.7,773,50,6fafec54-0ae3-4c8d-8d89-8cd3cf0229c5
2f1cb348-7e88-447a-b5f8-20db3cc431f3,wife,Home,avoid,"Alexander, Evans and Johnson",130.65,138.38,432,69,6d820abe-005a-4063-aa28-a0b9b8adbec7
7dad8ed9-3a34-4c39-9412-4c83b8ade338,these,Books,majority,Barnett-Fletcher,279.19,214.34,456,0,016591ec-6811-4742-9c05-0a4010bdde86
48ab60fd-bd04-407a-8330-c0998853d2fa,form,Clothing,group,Carlson-Kennedy,279.45,49.6,806,40,5a0bf5b2-b307-48bc-88fe-bc99c03e1e97
5cc5b1ec-e513-47fa-9fac-b6ba34ce5177,identify,Home,benefit,"King, Hill and Jackson",110.34,252.78,518,89,6a4fd8a8-29e6-47ad-90db-0174f37dad77
cf01000a-ca3d-4a5e-9b42-5b964a542b73,audience,Clothing,artist,Wood-Morales,99.52,59.57,391,82,e4c8784b-9773-4f05-b7e2-1333d4fee4b1
581ebb0e-36d3-4f79-9a0c-e4dc2a742e4f,surface,Home,challenge,"Salazar, Nelson and Daniels",457.92,61.79,598,7,784f421d-ce9f-42b6-95e7-27a53a27adab
74a99cdb-4fe0-4422-ac34-08278271fcfa,guy,Clothing,want,Owens LLC,100.19,7.44,543,40,1d0de84b-97e1-4cf3-9365-64198c4581f7
38ce7aa8-e09a-4d98-9f59-fd1c3dd5fa0d,serious,Books,walk,"Myers, Scott and Warner",173.73,290.88,350,6,9a2f4caa-4b75-4a2d-8520-f363c298b69b
2ed52148-564b-4703-9164-83714acbca79,team,Books,history,Benson-Bishop,289.96,213.05,844,99,45665dae-8988-4a10-aa28-edff514ccb05
23ff6030-11a1-479b-93a9-8960897ba96a,no,Electronics,financial,"Hill, Mitchell and Little",106.18,146.53,555,100,ffeac7e3-fcf4-4885-8654-ab87fbc7d3a6
0c51fd4d-7739-434b-b371-33645c6173b8,check,Electronics,born,"Campbell, Roberson and Garcia",407.76,59.27,817,18,21043a15-a41e-42a3-a741-572e9dc6f07a
83acec30-b2d1-4c96-b4d1-5c634a4dfadc,necessary,Toys,town,"Hester, Davis and Martinez",226.96,224.58,999,65,44c48abe-f59d-42c7-a4b7-3dde10e6aecf
8c447772-5597-4fae-aaeb-651fa381aa50,floor,Toys,development,"Green, Caldwell and Rosario",343.66,39.96,166,77,a8a0d517-b0bd-4091-ade8-64d5316ae5c7
003606ad-90ae-458d-811e-c22c74fd8d38,among,Toys,pressure,Hernandez Ltd,43.88,287.81,508,87,19627082-24b7-482e-a978-1ece48041506
80b8a5a6-3252-4807-becc-0dbc5756c7e8,would,Toys,fill,Lopez PLC,490.53,190.92,634,13,ccf87d66-61d2-484d-8e3e-7c028da719e7
